_created	_etag	_id	_updated	aor	aqi	bids_meta.AccelNumReferenceLines	bids_meta.AccelerationFactorPE	bids_meta.AcquisitionMatrix	bids_meta.CogAtlasID	bids_meta.CogPOID	bids_meta.CoilCombinationMethod	bids_meta.ContrastBolusIngredient	bids_meta.ConversionSoftware	bids_meta.ConversionSoftwareVersion	bids_meta.DelayTime	bids_meta.DeviceSerialNumber	bids_meta.EchoTime	bids_meta.EchoTrainLength	bids_meta.EffectiveEchoSpacing	bids_meta.FlipAngle	bids_meta.GradientSetType	bids_meta.HardcopyDeviceSoftwareVersion	bids_meta.ImagingFrequency	bids_meta.InPlanePhaseEncodingDirection	bids_meta.InstitutionAddress	bids_meta.InstitutionName	bids_meta.Instructions	bids_meta.InversionTime	bids_meta.MRAcquisitionType	bids_meta.MRTransmitCoilSequence	bids_meta.MagneticFieldStrength	bids_meta.Manufacturer	bids_meta.ManufacturersModelName	bids_meta.MatrixCoilMode	bids_meta.MultibandAccelerationFactor	bids_meta.NumberOfAverages	bids_meta.NumberOfPhaseEncodingSteps	bids_meta.NumberOfVolumesDiscardedByScanner	bids_meta.NumberOfVolumesDiscardedByUser	bids_meta.NumberShots	bids_meta.ParallelAcquisitionTechnique	bids_meta.ParallelReductionFactorInPlane	bids_meta.PartialFourier	bids_meta.PartialFourierDirection	bids_meta.PatientPosition	bids_meta.PercentPhaseFieldOfView	bids_meta.PercentSampling	bids_meta.PhaseEncodingDirection	bids_meta.PixelBandwidth	bids_meta.ProtocolName	bids_meta.PulseSequenceDetails	bids_meta.PulseSequenceType	bids_meta.ReceiveCoilName	bids_meta.RepetitionTime	bids_meta.ScanOptions	bids_meta.ScanningSequence	bids_meta.SequenceName	bids_meta.SequenceVariant	bids_meta.SliceEncodingDirection	bids_meta.SoftwareVersions	bids_meta.TaskDescription	bids_meta.TaskName	bids_meta.TotalReadoutTime	bids_meta.TotalScanTimeSec	bids_meta.TransmitCoilName	bids_meta.VariableFlipAngleFlag	bids_meta.acq_id	bids_meta.modality	bids_meta.run_id	bids_meta.session_id	bids_meta.subject_id	bids_meta.task_id	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	provenance.email	provenance.md5sum	provenance.mriqc_pred	provenance.settings.fd_thres	provenance.settings.hmc_fsl	provenance.settings.testing	provenance.software	provenance.version	rating.comment	rating.md5sum	rating.name	rating.rating	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
Fri, 27 Aug 2021 21:57:42 GMT	e0223725d9440bf103e8c6dfd989f7cfcca002a9	61295fd61f143ec0cf5d46ae	Fri, 27 Aug 2021 21:57:42 GMT	0.004840288461538462	0.019888146153846153				TODO				dcm2niix	v1.0.20190410  GCC6.3.0		45424	0.03	43	0.000294998	50			123		North_Warren_Ave_1609_Tucson_Denver_US_85719	University_of_Arizona			2D		3.0	Siemens	Skyra		3.0							2.0	True		HFS			j	2365	func_task-rest_run-01_MoCo	%SiemensSeq%_ep2d_bold		Head_32	2.0	FS	EP	_epfid2d1_88	SK		syngo_MR_E11		rest	0.0256649					bold	1		5cde41210a7005ec045f6db9f9d5013a8184720167d1985aacf4117518714e2a	rest	0	44.08368458043477	1.218778082657005	1.0253840903381648	0.46651928643546803	4029.5771484375	0.11420677235295765	13.0	6.25	1.8383453884592746	1.7341121653778233	1.935432	1.8454920000000001	0.0167062	-0.006704345811158419	0.020539870485663414		f87341215e202e5fa1e40dbb492398b7		0.2		False	mriqc	0.16.1					208.0	88.0	88.0	63.0	5.2841037324314595	2.0	2.499999761581421	2.5	2.5	68.76301760833647	4.67589911418233	12.7308931350708	5.197115421295166	340190.0	1.451923131942749	46.81731033325195	23.08251190185547	4.264612672701077	52.41499709316682	336.14166259765625	329.92547607421875	78122.0	252.64472198486328	438.629100036621	62.43695831298828	35.17333037615754
Fri, 27 Aug 2021 21:56:32 GMT	ba7da1ac2b4f6fb2c3a6d1413d6c0ddfd44bdd49	61295f901f143ec0cf5d46ad	Fri, 27 Aug 2021 21:56:32 GMT	0.004763125	0.02001235528846154				TODO				dcm2niix	v1.0.20190410  GCC6.3.0		45424	0.03	43	0.000294998	50			123		North_Warren_Ave_1609_Tucson_Denver_US_85719	University_of_Arizona			2D		3.0	Siemens	Skyra		3.0							2.0	True		HFS			j	2365	func_task-rest_run-01	%SiemensSeq%_ep2d_bold		Head_32	2.0	FS	EP	_epfid2d1_88	SK		syngo_MR_E11		rest	0.0256649					bold	1		5cde41210a7005ec045f6db9f9d5013a8184720167d1985aacf4117518714e2a	rest	0	44.18108052811594	1.2223489491787434	1.0254228268599037	0.4661172305382076	4147.0419921875	0.13918168393897992	26.0	12.5	1.8414053885863038	1.7381081657589117	1.940452	1.845656	0.0167827	-0.006554118823260069	0.020571699365973473		472a4c0590401683ff9449d7ea85f2bb		0.2		False	mriqc	0.16.1					208.0	88.0	88.0	63.0	5.289275584519287	2.0	2.499999761581421	2.5	2.5	69.01381693065245	4.597492673949723	12.734294891357422	5.163461685180664	340233.0	1.4903846979141235	46.70192337036133	23.117389678955078	4.240360913012617	52.525463808147336	336.0904235839844	329.90386962890625	78085.0	252.4336700439453	438.2211730957032	62.371822357177734	35.310677817324176
Fri, 27 Aug 2021 19:15:47 GMT	e980d83457ab263b43f0e1d7c4b6f69ba11f5e46	612939e31329e57f6e1f58a0	Fri, 27 Aug 2021 19:15:47 GMT	0.0011723076923076923	0.025775530288461537				TODO				dcm2niix	v1.0.20190410  GCC6.3.0		45424	0.03	43	0.000294998	50			123		North_Warren_Ave_1609_Tucson_Denver_US_85719	University_of_Arizona			2D		3.0	Siemens	Skyra		3.0							2.0	True		HFS			j	2365	func_task-rest_run-01_MoCo	%SiemensSeq%_ep2d_bold		Head_32	2.0	FS	EP	_epfid2d1_88	SK		syngo_MR_E11		rest	0.0256649					bold	1		9d01168f111d66ad0bda1ed5db889adab90ca96e41244d2bbcfc13827928740f	rest	0	43.263101439082114	1.1239262788888884	0.9599455669565212	0.4561232620387884	4704.42822265625	0.09260382857892346	4.0	1.9230769230769231	1.9180280000000003	1.7874240000000001	2.062752	1.903908	0.0123762	-0.008167410269379616	0.0200966689735651		342d276463ec1cb3309b0092a1f2049c		0.2		False	mriqc	0.16.1					208.0	88.0	88.0	63.0	5.081614104982211	2.0	2.5	2.5	2.5	36.17594267762758	4.597492320469808	17.027374267578125	5.269230842590332	353536.0	1.4903846979141235	77.93269348144531	32.98557662963867	3.379152453609854	66.75632761972244	364.5390930175781	358.8317565917969	68460.0	270.0959213256836	478.10194396972645	70.61322021484375	29.930385751184076
Fri, 27 Aug 2021 19:14:35 GMT	35f7adce13fc50f2f060709f526c03011811d0d9	6129399b1f143ec0cf5d466f	Fri, 27 Aug 2021 19:14:35 GMT	0.0011929326923076924	0.02653497980769231				TODO				dcm2niix	v1.0.20190410  GCC6.3.0		45424	0.03	43	0.000294998	50			123		North_Warren_Ave_1609_Tucson_Denver_US_85719	University_of_Arizona			2D		3.0	Siemens	Skyra		3.0							2.0	True		HFS			j	2365	func_task-rest_run-01	%SiemensSeq%_ep2d_bold		Head_32	2.0	FS	EP	_epfid2d1_88	SK		syngo_MR_E11		rest	0.0256649					bold	1		9d01168f111d66ad0bda1ed5db889adab90ca96e41244d2bbcfc13827928740f	rest	0	42.8676010910145	1.1136051670531408	0.9606561975362317	0.45501001606705616	4843.45068359375	0.21202564754350153	84.0	40.38461538461539	1.9127826666666667	1.7876319999999999	2.061448	1.889268	0.0127049	-0.007306450046598911	0.020738784223794937		037fcbfb3885aa5a7f1d25404614df34		0.2		False	mriqc	0.16.1					208.0	88.0	88.0	63.0	5.084949428668053	2.0	2.5	2.5	2.5	36.52211172159662	4.554724785637571	16.950302124023438	5.240384578704834	353540.0	1.4759615659713745	77.52428054809565	32.89902114868164	3.4157832778206236	66.49616640279106	364.44952392578125	358.90386962890625	68474.0	270.0896820068359	477.67478332519534	70.58108520507812	30.044983183965087
Fri, 27 Aug 2021 19:05:11 GMT	f55084de47f4146e9977bf16cb35fbb194da41e9	612937671f143ec0cf5d466a	Fri, 27 Aug 2021 19:05:11 GMT	0.0005306763285024156	0.019321534782608694				TODO				dcm2niix	v1.0.20190410  GCC6.3.0		45424	0.03	43	0.000294998	50			123		North_Warren_Ave_1609_Tucson_Denver_US_85719	University_of_Arizona			2D		3.0	Siemens	Skyra		3.0							2.0	True		HFS			j	2365	func_task-rest_run-01	%SiemensSeq%_ep2d_bold		Head_32	2.0	FS	EP	_epfid2d1_88	SK		syngo_MR_E11		rest	0.0256649					bold	1		0238a1a27baa443b71a8027eba80fa0d8571aa5090cf704db70cea4cdf8176d0	rest	1	41.77970128844663	1.244888697621359	0.9696395247087376	0.4317471355057722	6398.45361328125	0.08351271772432599	5.0	2.4154589371980677	1.7004986666666666	1.581952	1.8039200000000002	1.715624	0.0039053	-0.015722347423434258	0.018702391535043716		85d12f6862874d2bb2a33a1b04b03432		0.2		False	mriqc	0.16.1					207.0	88.0	88.0	63.0	5.889797488917913	2.0	2.5	2.5	2.5	71.70600637054201	3.638463137118936	11.655623435974121	4.613526344299316	354575.0	1.6521738767623901	41.164249420166016	23.389694213867188	2.8890901601447307	55.572517226276595	366.16070556640625	362.4106140136719	68015.0	279.75217590332034	465.9449188232422	61.53147888183594	40.45373639743775
Thu, 26 Aug 2021 16:24:37 GMT	388bd65de1d08e2fd72312a4d0d6947aa3bdb1e5	6127c0451329e57f6e1f5766	Thu, 26 Aug 2021 16:24:37 GMT	0.0014594407894736843	0.004927437796052631				http://www.cognitiveatlas.org/task/id/TODO				dcm2niix	v1.0.20190410  GCC6.3.0		166036	0.028	51	0.000334996	75			123		Street_StreetNo_Falmer_Brighton_District_GB_BN1_9RR	CISC			2D		3.0	Siemens	Prisma		3.0							2.0	True		HFS			j-	1715	TASK_RUN2	%CustomerSeq%_cmrr_mbep2d_bold		Head_32	1.52	FS	EP	epfid2d1_104	SK_SS		syngo_MR_E11		surprise	0.0345046					bold	2		2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3	surprise	0	42.38388119405942	1.1028724606930693	1.0136380454785485	0.5205198116543668	706.3597412109375	0.15266787928172348	57.0	18.75	3.242751666666667	2.889535	3.38724	3.45148	0.0164829	-0.006678840145468712	0.055614590644836426		e72c91f26192e0119f5225d1396ca7cb		0.2		False	mriqc	0.16.0					304.0	104.0	104.0	72.0	2.4400206858462568	1.5199999809265137	2.0	2.0	2.0	28.51851342629612	62.176630538578685	448.58624267578125	208.99342346191406	520423.0	161.0	1761.4069702148433	736.7208251953125	0.8395202084913009	2095.7559659843764	6051.90673828125	5652.12841796875	154647.0	3070.8993164062504	10439.739550781245	2316.4189453125	37.8667945076013
Thu, 26 Aug 2021 16:24:25 GMT	c493500c81a0e9dbbc41ac5fd6521ce8b3ad35bf	6127c0391329e57f6e1f5765	Thu, 26 Aug 2021 16:24:25 GMT	0.0003033108108108108	0.004758899087837838				http://www.cognitiveatlas.org/task/id/TODO				dcm2niix	v1.0.20190410  GCC6.3.0		166036	0.028	51	0.000334996	75			123		Street_StreetNo_Falmer_Brighton_District_GB_BN1_9RR	CISC			2D		3.0	Siemens	Prisma		3.0							2.0	True		HFS			j-	1715	TASK_RUN4	%CustomerSeq%_cmrr_mbep2d_bold		Head_32	1.52	FS	EP	epfid2d1_104	SK_SS		syngo_MR_E11		surprise	0.0345046					bold	4		2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3	surprise	1	43.51210241793223	1.1054742149491532	0.9982355128813551	0.5214499495831477	707.9992065429688	0.14745709622726866	86.0	29.054054054054053	3.2311833333333335	2.965625	3.33272	3.395205	0.00888336	0.003266440238803625	0.056545305997133255		dfbba80ce808b2d12de68820ca4c7a69		0.2		False	mriqc	0.16.0					296.0	104.0	104.0	72.0	2.4885187624270597	1.5199999809265137	2.0	2.0	2.0	24.369459003168977	60.701539061292316	473.3136291503906	207.89527893066406	525909.0	161.32095336914062	1943.3554443359358	800.6162109375	0.8343821942395047	2073.970834850837	6005.89111328125	5602.73681640625	151591.0	3132.571044921875	10288.96826171875	2251.427001953125	39.06413710024208
Thu, 26 Aug 2021 16:24:25 GMT	f87a15f01c4a6b8be5bfa24e77b694d0cdfff003	6127c0391f143ec0cf5d4538	Thu, 26 Aug 2021 16:24:25 GMT	0.0027195189003436427	0.008197380446735396				http://www.cognitiveatlas.org/task/id/TODO				dcm2niix	v1.0.20190410  GCC6.3.0		166036	0.028	51	0.000334996	75			123		Street_StreetNo_Falmer_Brighton_District_GB_BN1_9RR	CISC			2D		3.0	Siemens	Prisma		3.0							2.0	True		HFS			j-	1715	TASK_RUN1	%CustomerSeq%_cmrr_mbep2d_bold		Head_32	1.52	FS	EP	epfid2d1_104	SK_SS		syngo_MR_E11		surprise	0.0345046					bold	1		2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3	surprise	0	44.61297936268968	1.0703464472413786	1.0026679409999995	0.5222228483558399	713.438232421875	0.19501359640245194	94.0	32.302405498281786	3.2335766666666665	2.872365	3.3816	3.446765	0.0257669	-0.007608780171722174	0.05539941042661667		0f238865adf7b45076c28d085a6e227a		0.2		False	mriqc	0.16.0					291.0	104.0	104.0	72.0	2.462038192681034	1.5199999809265137	2.0	2.0	2.0	28.320751524123313	62.87558192625796	447.18255615234375	207.20962524414062	519218.0	156.45018005371094	1758.06240234375	727.2940063476562	0.8621472233885155	2072.1483489694465	6030.46044921875	5635.5791015625	155176.0	3086.1212158203125	10364.855224609375	2288.98193359375	31.511512301512994
Thu, 26 Aug 2021 16:23:57 GMT	e55187f850e8a70c429878311bb58cf74db27724	6127c01d1f143ec0cf5d4537	Thu, 26 Aug 2021 16:23:57 GMT	0.0013354255319148938	0.005629734148936171				http://www.cognitiveatlas.org/task/id/TODO				dcm2niix	v1.0.20190410  GCC6.3.0		166036	0.028	51	0.000334996	75			123		Street_StreetNo_Falmer_Brighton_District_GB_BN1_9RR	CISC			2D		3.0	Siemens	Prisma		3.0							2.0	True		HFS			j-	1715	TASK_RUN3	%CustomerSeq%_cmrr_mbep2d_bold		Head_32	1.52	FS	EP	epfid2d1_104	SK_SS		syngo_MR_E11		surprise	0.0345046					bold	3		2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3	surprise	1	43.571720720284695	1.0990171211032032	1.0049596228825626	0.5207179207545285	701.2582397460938	0.15927320501833836	76.0	26.95035460992908	3.273355	2.92279	3.415265	3.48201	0.0125489	-0.005835706368088722	0.057176657021045685		2bb440a1178b469b83a11058676720f2		0.2		False	mriqc	0.16.0					282.0	104.0	104.0	72.0	2.415652220064479	1.5199999809265137	2.0	2.0	2.0	28.02690712667679	61.24934809329172	449.9349365234375	208.2198486328125	520531.0	160.70211791992188	1778.2747802734375	740.6048583984375	0.8170174211891226	2109.6930059798206	6005.4638671875	5607.3720703125	154702.0	3008.1178955078126	10398.316503906244	2321.2587890625	36.15230516670272
Thu, 26 Aug 2021 16:23:09 GMT	dd9253c8c002327ef0e46656876ebb9b5ad68fbe	6127bfed1f143ec0cf5d4536	Thu, 26 Aug 2021 16:23:09 GMT	0.0009290310077519381	0.00512783976744186				http://www.cognitiveatlas.org/task/id/TODO				dcm2niix	v1.0.20190410  GCC6.3.0		166036	0.028	51	0.000334996	75			123		Street_StreetNo_Falmer_Brighton_District_GB_BN1_9RR	CISC			2D		3.0	Siemens	Prisma		3.0							2.0	True		HFS			j-	1715	TASK_RUN5	%CustomerSeq%_cmrr_mbep2d_bold		Head_32	1.52	FS	EP	epfid2d1_104	SK_SS		syngo_MR_E11		surprise	0.0345046					bold	5		2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3	surprise	0	43.02239359420232	1.1279317740466928	1.0235755067315184	0.5215748843523047	713.6752319335938	0.12987778441034412	36.0	13.953488372093023	3.2043683333333335	2.87191	3.33137	3.409825	0.00796963	-0.004820760805159807	0.0571136474609375		cbadaa80d7e83c5d35aa40b8bb2dd577		0.2		False	mriqc	0.16.0					258.0	104.0	104.0	72.0	2.4720342714889236	1.5199999809265137	2.0	2.0	2.0	27.458562658573467	58.804149372140046	448.7716369628906	206.20542907714844	521506.0	160.11627197265625	1772.9699096679688	739.325439453125	0.9370146488814317	2042.1926172796746	5974.73291015625	5591.724609375	154539.0	3071.423559570312	10251.803222656254	2261.98583984375	37.999892462044954
