bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-075_task-wb2_run-01_bold	0.001736686	0.006407859	0	23.60185769	1.274286126	1.002591591	0.487586506	5043.63916	0.073676298	5	2.906976744	2.333561722	2.15228332	2.630465357	2.21793649	0.0124754	-0.019124141	0.042680874	172	74	66	45	5.755223505	2.599999905	3.02702713	3.02702713	3.000000238	23.50234552	4.723639488	20.87889862	6.488371849	137996	2.529069662	90.70494461	41.61971664	5.259808857	68.44968414	478.7975464	485.0930176	41701	350.4767456	588.7267456	84.28642273	70.99094391
sub-075_task-wb2_run-02_bold	0.001257326	0.008240957	0	23.95585592	1.208034481	0.967552624	0.488803207	4967.894043	0.086532284	13	7.558139535	2.351275571	2.171946176	2.645780713	2.236099822	0.0240414	-0.019432083	0.04285888	172	74	66	45	5.651181177	2.599999905	3.02702713	3.02702713	3.000000238	22.78572056	4.758119106	21.27520561	6.523255825	137885	2.540697575	93.8837204	42.35600281	5.295661189	68.52723694	477.4836731	484.4592896	41773	343.4895447	587.8116089	85.72605896	62.37928772
sub-075_task-wb2_run-03_bold	0.001652965	0.007137438	0	24.73753631	1.288729134	0.99541579	0.488455656	5002.856445	0.075437702	11	6.395348837	2.342707039	2.163541891	2.637046071	2.227533156	0.0144936	-0.018401181	0.041852564	172	74	66	45	5.712558521	2.599999905	3.02702713	3.02702713	3.000000238	22.17066747	4.766738892	21.34170532	6.529069901	138093	2.569767475	94.47209473	42.19940948	5.437683023	68.25141907	479.3821106	486.1627808	41613	350.3965027	588.5755615	85.10318756	67.64862061
sub-078_task-russian_run-01_bold	0.005557363	0.01296219	0	22.66261123	1.340707855	0.988201951	0.431885179	9207.238281	0.136534726	25	13.73626374	2.506373943	2.454182441	2.910817144	2.154122243	0.0238342	-0.015695849	0.019185213	182	72	60	36	5.48032598	2	3.361111164	3.361111164	4.000000477	43.09874313	3.11183548	10.85384846	3.807692289	100672	1.203296781	39.13983536	22.43455505	5.441012571	46.25390625	376.169281	384.2472534	24121	245.1208801	461.9395752	70.11248779	54.09440613
sub-078_task-russian_run-02_bold	0.002021374	0.009969633	0	22.24773168	1.345869325	0.988044442	0.432749699	9451.556641	0.124704356	23	12.63736264	2.504655605	2.431508391	2.924223425	2.158235	0.0168265	-0.015057531	0.020789141	182	72	60	36	5.476553104	2	3.361111164	3.361111164	4	48.73241556	2.924473524	11.06111526	3.780219793	100511	1.335164905	40.04120827	23.31721878	5.282381015	47.26405334	379.0171204	386.1318665	24241	247.6923065	466.4890137	70.50491333	63.40554047
sub-078_task-russian_run-03_bold	0.000978729	0.009231218	1	21.84503089	1.332558706	0.961942627	0.432667929	9557.1875	0.097820306	8	4.419889503	2.488730089	2.421972854	2.889844913	2.1543725	0.0140303	-0.015025171	0.019989677	181	72	60	36	5.604721296	2	3.361111164	3.361111164	4	48.8212231	2.907866478	11.10086155	3.767956018	100554	1.314917207	40.39060955	23.62718391	5.202706411	46.84531021	380.4908447	387.3204651	24148	253.4397873	468.1837234	69.10467529	66.82939911
sub-078_task-russian_run-04_bold	0.002785769	0.014665706	0	23.8234548	1.286934728	0.967666224	0.434181097	9254.494141	0.18223215	55	30.21978022	2.506097541	2.443516325	2.919858797	2.1549175	0.0248245	-0.015843488	0.020794069	182	72	60	36	5.48312259	2	3.361111164	3.361111164	4	53.64670695	3.014081478	11.36837101	3.818681479	100624	1.335164905	41.95357075	24.2377739	5.442685478	46.6245575	378.7960205	386.5274963	24112	249.0884705	465.8719925	70.49258423	50.56881332
sub-078_task-wb2_run-01_bold	0.003419593	0.007469181	0	21.34837081	1.220892929	1.01387776	0.484348729	4198.172852	0.066914203	6	3.488372093	2.374441154	2.199270014	2.608456965	2.315596483	0.0227552	-0.016001299	0.038890131	172	74	66	45	5.936820296	2.599999905	3.02702713	3.02702713	3.000000238	35.6396489	5.033952236	19.29774857	6.691860676	139100	2.6569767	73.52906799	37.5607338	4.673965355	60.85564804	451.3523865	454.8546448	41105	328.2255798	556.6604614	76.61493683	70.92123413
sub-078_task-wb2_run-02_bold	0.002967093	0.007408182	0	20.6011187	1.200904484	1.018733598	0.484759193	4228.788574	0.071276418	10	5.813953488	2.377827503	2.202533943	2.61084875	2.320099816	0.0298329	-0.015844297	0.039305549	172	74	66	45	5.892348676	2.599999905	3.02702713	3.02702713	3.000000238	35.94226031	5.059811592	19.55184555	6.691860676	139169	2.668604612	74.90232391	38.0990448	4.770218696	60.73927307	452.8417664	456.7819824	41082	328.6005905	558.0057983	77.52026367	71.7780838
sub-078_task-wb2_run-03_bold	0.002027267	0.010652648	0	22.05285738	1.161609465	0.965513605	0.483766247	4348.535645	0.070777636	8	4.651162791	2.377250915	2.190390015	2.602986251	2.338376481	0.0143034	-0.01429905	0.041031297	172	74	66	45	5.99456959	2.599999905	3.02702713	3.02702713	3.000000238	35.71144957	5.016711235	19.50104141	6.622093201	139590	2.616279125	73.84040909	38.34723663	4.748048426	60.23506165	452.2467957	455.8488464	40853	331.8	556.7627808	76.04270172	62.95336151
